state,oppose_expansion,gop_governor,percent_favorable_aca,gop_leg,percent_uninsured,bal2012,multiplier,percent_nonwhite,percent_metro
Alabama,1,0.4,-0.353847092439527,0.46,-0.0438537509018957,-0.192312167188567,0.613802369772533,0.11990256664328,-0.0119170152754149
Alaska,1,0.4,-0.401333156022776,0.46,0.565226122735545,3.23850923612013,-0.494603330527186,0.11990256664328,-0.107219405243706
Arizona,0,0.4,-0.273521798244213,0.46,0.443410148008057,-0.103217192761558,0.568375906645495,0.530095557791345,0.305217062400023
Arkansas,0,-0.6,-0.474745210528686,0.46,0.443410148008057,-0.205609924565733,0.804593514906091,-0.132523889447836,-0.243147193607317
California,0,-0.6,0.668318169382844,-0.54,0.565226122735545,-0.230875663582347,-0.494603330527186,0.971841855950799,0.682172044395254
Colorado,0,-0.6,0.0320017865773129,-0.54,0.0779622238255925,-0.0473666117774635,-0.458262160025556,-0.00631066140227789,0.404298641703284
Connecticut,0,-0.6,0.446097966133104,-0.54,-0.774749599266825,-0.205609924565733,-0.494603330527186,-0.0378639684136675,0.612811548366994
Delaware,0,-0.6,0.459845622558626,-0.54,-0.531117649811848,0.00316486625576538,-0.349238648520666,0.18300918066606,0.146038758757269
Florida,0,0.4,0.147913296174955,0.46,0.808858072190521,-0.0912492111221096,-0.0585092845076245,0.403882329745787,0.622732535200773
Georgia,1,0.4,0.0905112526739151,0.46,0.565226122735545,-0.161727325221087,0.432096517264382,0.466988943768566,0.352200419839682
Hawaii,0,-0.6,1.00460209199793,-0.54,-0.774749599266825,-0.133802034729039,-0.412835696898518,1.66601461020137,-0.110114102501455
Idaho,1,0.4,-0.925554595340072,0.46,0.199778198553081,-0.141780689155338,0.904531733785574,-0.353397038527563,-0.292762097072979
Illinois,0,-0.6,0.608226757010211,-0.54,-0.0438537509018957,-0.204280148828016,-0.467347452650963,0.246115794688839,0.416594939197377
Indiana,1,0.4,-0.129427745113571,0.46,-0.165669725629384,0.00582441773119849,0.40484063938816,-0.353397038527563,-0.0362279727140044
Iowa,0,0.4,0.0549083666294509,-0.54,-0.531117649811848,0.0802918590433252,-0.267471014891998,-0.479610266573122,-0.41356235822243
Kansas,0,0.4,-0.284437668959797,0.46,-0.165669725629384,-0.0965683140729758,-0.212959259139552,-0.227183810482005,-0.234874831824365
Kentucky,0,-0.6,-0.620754020670721,-0.54,0.0779622238255925,-0.176354858335969,0.713740588652016,-0.448056959561732,-0.52962294770434
Louisiana,1,0.4,-0.108022126182446,0.46,0.687042097463033,-0.115185174401007,0.0868553974988959,0.277669101700228,0.200138994629412
Maine,0,0.4,0.159896225730405,-0.54,-0.531117649811848,-0.168376203909669,0.068684812248081,-0.763590029675628,-0.605030489371906
Maryland,0,-0.6,0.798575705583475,-0.54,-0.165669725629384,-0.0965683140729758,-0.494603330527186,0.561648864802734,0.631096584176341
Massachusetts,0,-0.6,0.501320365957849,-0.54,-1.26201349817678,-0.124493604565023,-0.494603330527186,-0.132523889447836,0.665978499069523
Michigan,0,0.4,0.370747865507711,0.46,-0.287485700356872,0.0111435206820647,0.323073005759492,-0.195630503470615,0.324341648393371
Minnesota,0,-0.6,0.307022570400516,-0.54,-0.652933624539336,-0.0619941448923455,-0.494603330527186,-0.384950345538953,0.015218073429328
Mississippi,1,0.4,0.135351281478766,0.46,0.199778198553081,-0.16438687669652,1.13166404942076,0.403882329745787,-0.824156373977781
Missouri,0,-0.6,-0.139133786558529,0.46,-0.0438537509018957,-0.128482931778173,0.177708323752971,-0.321843731516174,0.155643495002621
Montana,0,-0.6,-0.531216690778629,0.46,0.443410148008057,0.133482888551987,0.350328883635714,-0.57427018760729,-1.12553615652079
Nebraska,1,0.4,-0.454095469941484,0.46,-0.165669725629384,0.152099748880019,-0.367409233771481,-0.258737117493395,-0.297298469806967
Nevada,0,0.4,0.0836865137257124,-0.54,1.0524900216455,-0.0433772845643138,0.241305372130824,0.624755478825514,0.454474081450345
New Hampshire,0,-0.6,-0.0319172823069205,-0.54,-0.287485700356872,-0.180344185549118,-0.494603330527186,-0.700483415652849,-0.314068613527069
New Jersey,0,0.4,0.500091674469405,-0.54,0.0779622238255925,-0.185663288499985,-0.494603330527186,0.372329022734397,0.728127687845846
New Mexico,0,0.4,0.481769525632867,-0.54,0.808858072190521,-0.0353986301380145,0.677399418150386,0.90873524192802,-0.00366619324102219
New York,0,-0.6,0.89798091935661,-0.54,-0.287485700356872,-0.163057100958803,-0.494603330527186,0.435435636757176,0.498975966033902
North Carolina,1,0.4,0.044782275216121,0.46,0.321594173280569,-0.152418895057071,0.350328883635714,0.246115794688839,-0.191610831084788
North Dakota,0,0.4,-0.439963827983266,0.46,-0.531117649811848,0.799700533147978,-0.494603330527186,-0.416503652550342,-0.677423168502137
Ohio,0,0.4,0.0680478666713677,0.46,-0.165669725629384,-0.145770016368488,0.123196568000526,-0.321843731516174,0.0747952594830154
Oklahoma,1,0.4,-0.773131062968708,0.46,0.321594173280569,-0.04869638751518,0.0959406901243035,0.18300918066606,-0.186856878238103
Oregon,0,-0.6,0.0653745280368895,-0.54,0.0779622238255925,-0.193641942926284,0.214049494254601,-0.227183810482005,0.0890170020672579
Pennsylvania,0,0.4,0.0789153138365995,0.46,-0.40930167508436,-0.173695306860536,-0.421920989523926,-0.290290424504784,0.223458210695007
Rhode Island,0,-0.6,0.530602381078717,-0.54,-0.287485700356872,-0.0912492111221096,-0.494603330527186,-0.164077196459226,0.728127687845846
South Carolina,1,0.4,0.00252505243165114,0.46,0.321594173280569,0.0244412780592302,0.786422929655276,0.15145587365467,-0.157846129128099
South Dakota,1,0.4,-0.385613391987102,0.46,-0.0438537509018957,-0.00481378817053391,-0.431006282149333,-0.416503652550342,-0.646672025686418
Tennessee,0,0.4,-0.434661862759062,0.46,-0.0438537509018957,-0.0713025750563613,0.286731835257862,-0.132523889447836,0.0543746312009597
Texas,1,0.4,-0.0918623666268001,0.46,1.17430599637299,-0.0247604242362821,-0.1493622107617,0.90873524192802,0.419981348352143
Utah,0,0.4,-1.12332866431138,0.46,0.0779622238255925,-0.116514950138724,0.777337637029868,-0.321843731516174,0.13524958634606
Vermont,0,-0.6,0.62269962920853,-0.54,-0.774749599266825,-0.144440240630772,-0.340153355895258,-0.732036722664238,-1.17096541323657
Virginia,1,0.4,0.150836594009432,-0.54,-0.165669725629384,-0.12582338030274,-0.494603330527186,0.18300918066606,0.355063908619798
Washington,0,-0.6,0.296428413902576,-0.54,-0.0438537509018957,-0.226886336369198,-0.494603330527186,-0.00631066140227789,0.534087374194925
West Virginia,0,-0.6,-0.856354929552562,-0.54,0.0779622238255925,0.263800910848209,0.859105270658536,-0.700483415652849,-0.434198313763982
Wisconsin,1,0.4,0.260764865297521,0.46,-0.531117649811848,-0.172365531122819,-0.131191625510885,-0.384950345538953,0.0240404656695259
Wyoming,1,0.4,-1.03692212739481,0.46,0.321594173280569,0.438001532489077,-0.494603330527186,-0.479610266573122,-1.23947947411425
