resist,polity_conq,lndist,terrain,soldperterr,gdppc2,coord
1,-6,9.127671,31.2,-3.9781437,685.9,1
0,-5,5.483439,22.2,-3.1080782,1457,0
1,3,7.8117003,47.6,-3.8965187,912.13336,1
1,-6,7.30577,1.1,-1.2954079,676,1
0,-6,7.584401,28.4,-4.6956286,681.7,0
0,-9,6.3585095,0,2.3631907,4831,0
0,-9,6.47938,0,2.8811479,4562,0
0,-5,6.778457,10.5,0.74240154,1899,0
0,-9,6.778457,10.5,0.9773778,4042,0
0,-4,6.960311,21.6,-1.6085215,1015.1,0
0,-9,7.384176,2,3.159313,4514,0
0,-9,6.24934,0.8,1.4123427,2182,0
0,-4,6.466454,0,0.038870774,1709,0
0,-9,7.3591466,0,2.0530791,2743,0
0,-7,7.3591466,0,0.416165,2906,0
0,10,7.2699156,22.2,0.24327824,3039,1
0,-4,6.1980987,13.4,1.5944,1057,0
1,-9,6.910802,13.4,0.9653921,1412,0
1,-9,7.4991093,21.8,1.6484233,2223,0
0,-4,5.689805,20.3,1.9791439,1534,1
0,-9,7.313119,17,1.3477145,1242,0
0,-9,6.7318234,29.4,-1.0554576,4038,0
0,-6,6.9917803,9.4,-2.301134,606,0
1,1,6.9732647,12.6,-5.071506,918,1
1,-9,8.405621,70.4,-0.8061928,786.9259,0
1,7,9.079032,32.8,-3.6293013,587.5333,1
1,-4,7.2067795,15.7,-4.374389,487,0
1,10,9.208577,6,-0.3153933,1023,1
0,7,8.164878,1,-4.046667,719.6047,0
0,-9,6.32059,0,1.7248487,8108,0
1,3,8.650591,65.6,-3.3820763,658.3,0
1,3,8.650591,65.6,-2.9092357,804.7907,0
1,7,9.052009,35.6,-4.291585,598.35486,0
1,-7,6.9654393,1,-0.1627989,831,1
0,-7,7.0384746,19.2,0.73644584,710,0
